iteration,Search Options,ntasks,error,elapsed,account,max-witness-size,max-rss,error-output,all-states,Flags,start,conjecture-status,time,job-id,input, Search Type,ChromaticNumber,job-name,status,mem-per-cpu,cpus-per-task,script-file,command,ntasks-per-node,width,finish
11, ,1,,00:00:02,NN9535K,8,0,,26, -pl -pdbgn ,Thu Dec 23 13:33:13 CET 2021,"Conjecture: Satisfied
",14-00:00:00,4732461,../../inputs/ChromaticNumber_2,IsomorphismBreadthFirstSearch,2,26269614,DONE,4G,1,/cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/26269614.sh,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/26269614.txt,1, tw = 3,23 13:33:16 CET 2021
11,-premise,1,,00:00:02,NN9535K,8,0,,21, -pl -pdbgn ,Thu Dec 23 13:33:13 CET 2021,"Conjecture: Satisfied
",14-00:00:00,4732462,../../inputs/ChromaticNumber_2,IsomorphismBreadthFirstSearch,2,26269619,DONE,4G,1,/cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/26269619.sh,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/26269619.txt,1, tw = 3,23 13:33:16 CET 2021
4, ,1,,00:00:03,NN9535K,2,0,,4, -pl -pdbgn ,Thu Dec 23 13:33:14 CET 2021,"Conjecture: Satisfied
",14-00:00:00,4732463,../../inputs/ChromaticNumber_3,IsomorphismBreadthFirstSearch,3,26269625,DONE,2G,1,/cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/26269625.sh,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/26269625.txt,1, tw = 1,23 13:33:17 CET 2021
4,-premise,1,,00:00:01,NN9535K,2,0,,4, -pl -pdbgn ,Thu Dec 23 13:33:13 CET 2021,"Conjecture: Satisfied
",14-00:00:00,4732464,../../inputs/ChromaticNumber_3,IsomorphismBreadthFirstSearch,3,26269630,DONE,2G,1,/cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/26269630.sh,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/26269630.txt,1, tw = 1,23 13:33:14 CET 2021
7, ,1,,00:00:01,NN9535K,5,0,,8, -pl -pdbgn ,Thu Dec 23 13:33:13 CET 2021,"Conjecture: Satisfied
",14-00:00:00,4732465,../../inputs/ChromaticNumber_3,IsomorphismBreadthFirstSearch,3,26269636,DONE,2G,1,/cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/26269636.sh,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/26269636.txt,1, tw = 2,23 13:33:15 CET 2021
7,-premise,1,,00:00:01,NN9535K,5,0,,8, -pl -pdbgn ,Thu Dec 23 13:33:14 CET 2021,"Conjecture: Satisfied
",14-00:00:00,4732466,../../inputs/ChromaticNumber_3,IsomorphismBreadthFirstSearch,3,26269641,DONE,2G,1,/cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/26269641.sh,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/26269641.txt,1, tw = 2,23 13:33:14 CET 2021
18, ,1,,00:19:21,NN9535K,14,1244K,,279, -pl -pdbgn ,Thu Dec 23 13:33:14 CET 2021,"Conjecture: Satisfied
",14-00:00:00,4732467,../../inputs/ChromaticNumber_3,IsomorphismBreadthFirstSearch,3,26269647,DONE,4G,1,/cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/26269647.sh,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/26269647.txt,1, tw = 3,23 13:52:35 CET 2021
18,-premise,1,,00:19:13,NN9535K,14,1244K,,274, -pl -pdbgn ,Thu Dec 23 13:33:14 CET 2021,"Conjecture: Satisfied
",14-00:00:00,4732468,../../inputs/ChromaticNumber_3,IsomorphismBreadthFirstSearch,3,26269652,DONE,4G,1,/cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/26269652.sh,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/26269652.txt,1, tw = 3,23 13:52:26 CET 2021
4, ,1,,00:00:02,NN9535K,2,0,,4, -pl -pdbgn ,Thu Dec 23 13:33:14 CET 2021,"Conjecture: Satisfied
",14-00:00:00,4732469,../../inputs/ChromaticNumber_4,IsomorphismBreadthFirstSearch,4,26269657,DONE,2G,1,/cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/26269657.sh,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/26269657.txt,1, tw = 1,23 13:33:15 CET 2021
4,-premise,1,,00:00:02,NN9535K,2,0,,4, -pl -pdbgn ,Thu Dec 23 13:33:14 CET 2021,"Conjecture: Satisfied
",14-00:00:00,4732470,../../inputs/ChromaticNumber_4,IsomorphismBreadthFirstSearch,4,26269662,DONE,2G,1,/cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/26269662.sh,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/26269662.txt,1, tw = 1,23 13:33:16 CET 2021
