Search Options,job-id,account,max-rss,elapsed,max-witness-size,error,all-states,ntasks-per-node,finish,job-name,iteration,status,mem-per-cpu,start,cpus-per-task,Flags,input,error-output,CliqueNumberSimpleGraphs,width,command,time,conjecture-status,ntasks, Search Type,script-file
 ,4735903,NN9535K,0,00:00:00,8,,93,1,24 12:50:00 CET 2021,34581232,22,DONE,2G,Fri Dec 24 12:49:57 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_5,,5, pw = 2,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581232.txt,14-00:00:00,"Conjecture: Satisfied
",1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581232.sh
-premise,4735904,NN9535K,0,00:00:00,8,,93,1,24 12:50:00 CET 2021,34581237,22,DONE,2G,Fri Dec 24 12:49:57 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_5,,5, pw = 2,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581237.txt,14-00:00:00,"Conjecture: Satisfied
",1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581237.sh
 ,4735905,NN9535K,6096K,00:02:46,16,,5924,1,24 12:52:42 CET 2021,34581241,41,DONE,4G,Fri Dec 24 12:49:57 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_5,,5, pw = 3,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581241.txt,14-00:00:00,"Conjecture: Satisfied
",1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581241.sh
-premise,4735906,NN9535K,6100K,00:02:46,16,,5924,1,24 12:52:43 CET 2021,34581245,41,DONE,4G,Fri Dec 24 12:49:57 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_5,,5, pw = 3,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581245.txt,14-00:00:00,"Conjecture: Satisfied
",1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581245.sh
 ,4735907,NN9535K,3090288K,13-03:16:2,32,,2443772,1,6 16:44:44 CET 2022,34581249,66,DONE,4G,Fri Dec 24 12:49:57 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_5,,5, pw = 4,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581249.txt,14-00:00:00,"Conjecture: Satisfied
",1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581249.sh
-premise,4735908,NN9535K,3090288K,12-19:00:1,32,,2443772,1,6 08:28:37 CET 2022,34581253,66,DONE,4G,Fri Dec 24 12:49:57 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_5,,5, pw = 4,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581253.txt,14-00:00:00,"Conjecture: Satisfied
",1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581253.sh
 ,4735909,NN9535K,893088K,14-00:00:2,65,"slurmstepd: error: *** JOB 4735909 ON c3-52 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",65347,1,7 13:28:50 CET 2022,34581257,18,DONE,4G,Fri Dec 24 12:49:57 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_5,Error,5, pw = 5,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 5  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581257.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581257.sh
-premise,4735910,NN9535K,892988K,14-00:00:2,65,"slurmstepd: error: *** JOB 4735910 ON c3-52 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",65347,1,7 13:28:49 CET 2022,34581262,18,DONE,4G,Fri Dec 24 12:49:57 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_5,Error,5, pw = 5,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 5  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581262.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581262.sh
 ,4735911,NN9535K,334620K,14-00:00:2,133,"slurmstepd: error: *** JOB 4735911 ON c3-52 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",8705,1,7 13:28:49 CET 2022,34581266,15,DONE,4G,Fri Dec 24 12:49:57 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_5,Error,5, pw = 6,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 6  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581266.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581266.sh
-premise,4735912,NN9535K,334364K,14-00:00:2,133,"slurmstepd: error: *** JOB 4735912 ON c3-52 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",8705,1,7 13:28:48 CET 2022,34581270,15,DONE,4G,Fri Dec 24 12:49:57 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_5,Error,5, pw = 6,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 6  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581270.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581270.sh
 ,4735913,NN9535K,287148K,14-00:00:2,247,"slurmstepd: error: *** JOB 4735913 ON c3-52 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",1875,1,7 13:28:50 CET 2022,34581274,13,DONE,4G,Fri Dec 24 12:49:57 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_5,Error,5, pw = 7,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 7  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581274.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581274.sh
-premise,4735914,NN9535K,286760K,14-00:00:2,247,"slurmstepd: error: *** JOB 4735914 ON c3-52 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",1875,1,7 13:28:50 CET 2022,34581278,13,DONE,4G,Fri Dec 24 12:49:57 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_5,Error,5, pw = 7,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 7  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581278.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581278.sh
