Search Options,job-id,account,max-rss,elapsed,max-witness-size,error,all-states,ntasks-per-node,finish,job-name,iteration,status,mem-per-cpu,start,cpus-per-task,Flags,input,error-output,CliqueNumberSimpleGraphs,width,command,time,conjecture-status,ntasks, Search Type,script-file
 ,4735883,NN9535K,221384K,14-00:00:2,119,"slurmstepd: error: *** JOB 4735883 ON c3-55 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",54109,1,7 13:28:49 CET 2022,34581146,16,DONE,4G,Fri Dec 24 12:49:57 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_3,Error,3, pw = 6,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 6  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581146.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581146.sh
-premise,4735884,NN9535K,218508K,14-00:00:2,119,"slurmstepd: error: *** JOB 4735884 ON c3-54 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",54101,1,7 13:28:49 CET 2022,34581151,16,DONE,4G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_3,Error,3, pw = 6,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 6  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581151.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581151.sh
 ,4735885,NN9535K,40176K,14-00:00:2,178,"slurmstepd: error: *** JOB 4735885 ON c3-54 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",7845,1,7 13:28:49 CET 2022,34581155,14,DONE,4G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_3,Error,3, pw = 7,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 7  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581155.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581155.sh
-premise,4735886,NN9535K,40244K,14-00:00:2,178,"slurmstepd: error: *** JOB 4735886 ON c3-54 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",7836,1,7 13:28:48 CET 2022,34581160,14,DONE,4G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_3,Error,3, pw = 7,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 7  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581160.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581160.sh
 ,4735887,NN9535K,0,00:00:01,4,,8,1,24 12:49:57 CET 2021,34581164,8,DONE,2G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_4,,4, pw = 1,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581164.txt,14-00:00:00,"Conjecture: Satisfied
",1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581164.sh
-premise,4735888,NN9535K,0,00:00:01,4,,8,1,24 12:49:57 CET 2021,34581168,8,DONE,2G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_4,,4, pw = 1,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581168.txt,14-00:00:00,"Conjecture: Satisfied
",1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581168.sh
 ,4735889,NN9535K,0,00:00:01,8,,64,1,24 12:49:58 CET 2021,34581173,19,DONE,2G,Fri Dec 24 12:49:57 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_4,,4, pw = 2,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581173.txt,14-00:00:00,"Conjecture: Satisfied
",1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581173.sh
-premise,4735890,NN9535K,0,00:00:01,8,,64,1,24 12:49:58 CET 2021,34581177,19,DONE,2G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_4,,4, pw = 2,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581177.txt,14-00:00:00,"Conjecture: Satisfied
",1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581177.sh
 ,4735891,NN9535K,2380K,00:00:55,16,,2515,1,24 12:50:52 CET 2021,34581181,35,DONE,4G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_4,,4, pw = 3,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581181.txt,14-00:00:00,"Conjecture: Satisfied
",1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581181.sh
-premise,4735892,NN9535K,2380K,00:00:56,16,,2515,1,24 12:50:52 CET 2021,34581186,35,DONE,4G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_4,,4, pw = 3,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581186.txt,14-00:00:00,"Conjecture: Satisfied
",1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581186.sh
