finish,max-rss,max-witness-size,status,input,Search Options,ntasks-per-node,elapsed,time,cpus-per-task,all-states,width,Flags,job-id,job-name,start,mem-per-cpu,ntasks,iteration,account,error, Search Type,error-output,command,CliqueNumberSimpleGraphs,script-file,conjecture-status
7 13:28:50 CET 2022,484344K,16,DONE,../../inputs/CliqueNumberSimpleGraphs_4, ,1,14-00:00:0,14-00:00:00,1,10007, tw = 3, -pl -pdbgn ,4735925,34616501,Fri Dec 24 12:50:22 CET 2021,4G,1,9,NN9535K,"slurmstepd: error: *** JOB 4735925 ON c3-52 CANCELLED AT 2022-01-07T13:28:48 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,Error,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616501.txt,4,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616501.sh,Not Finished
7 13:28:49 CET 2022,485092K,16,DONE,../../inputs/CliqueNumberSimpleGraphs_4,-premise,1,14-00:00:0,14-00:00:00,1,10007, tw = 3, -pl -pdbgn ,4735926,34616506,Fri Dec 24 12:50:22 CET 2021,4G,1,9,NN9535K,"slurmstepd: error: *** JOB 4735926 ON c3-51 CANCELLED AT 2022-01-07T13:28:48 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,Error,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616506.txt,4,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616506.sh,Not Finished
7 13:28:50 CET 2022,36012K,4,DONE,../../inputs/CliqueNumberSimpleGraphs_5, ,1,14-00:00:0,14-00:00:00,1,8196, tw = 1, -pl -pdbgn ,4735927,34616511,Fri Dec 24 12:50:22 CET 2021,2G,1,16,NN9535K,"slurmstepd: error: *** JOB 4735927 ON c3-51 CANCELLED AT 2022-01-07T13:28:48 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,Error,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616511.txt,5,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616511.sh,Not Finished
7 13:28:49 CET 2022,35948K,4,DONE,../../inputs/CliqueNumberSimpleGraphs_5,-premise,1,14-00:00:0,14-00:00:00,1,8196, tw = 1, -pl -pdbgn ,4735928,34616516,Fri Dec 24 12:50:22 CET 2021,2G,1,16,NN9535K,"slurmstepd: error: *** JOB 4735928 ON c3-51 CANCELLED AT 2022-01-07T13:28:48 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,Error,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616516.txt,5,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616516.sh,Not Finished
7 13:28:49 CET 2022,84600K,8,DONE,../../inputs/CliqueNumberSimpleGraphs_5, ,1,14-00:00:0,14-00:00:00,1,15483, tw = 2, -pl -pdbgn ,4735929,34616520,Fri Dec 24 12:50:22 CET 2021,2G,1,10,NN9535K,"slurmstepd: error: *** JOB 4735929 ON c3-51 CANCELLED AT 2022-01-07T13:28:48 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,Error,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616520.txt,5,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616520.sh,Not Finished
7 13:28:48 CET 2022,84592K,8,DONE,../../inputs/CliqueNumberSimpleGraphs_5,-premise,1,14-00:00:0,14-00:00:00,1,15483, tw = 2, -pl -pdbgn ,4735930,34616525,Fri Dec 24 12:50:23 CET 2021,2G,1,10,NN9535K,"slurmstepd: error: *** JOB 4735930 ON c3-51 CANCELLED AT 2022-01-07T13:28:48 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,Error,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616525.txt,5,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616525.sh,Not Finished
7 13:28:50 CET 2022,1196784K,16,DONE,../../inputs/CliqueNumberSimpleGraphs_5, ,1,14-00:00:0,14-00:00:00,1,5973, tw = 3, -pl -pdbgn ,4735931,34616530,Fri Dec 24 12:50:23 CET 2021,4G,1,9,NN9535K,"slurmstepd: error: *** JOB 4735931 ON c3-51 CANCELLED AT 2022-01-07T13:28:48 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,Error,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616530.txt,5,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616530.sh,Not Finished
7 13:28:49 CET 2022,1196220K,16,DONE,../../inputs/CliqueNumberSimpleGraphs_5,-premise,1,14-00:00:0,14-00:00:00,1,5973, tw = 3, -pl -pdbgn ,4735932,34616536,Fri Dec 24 12:50:23 CET 2021,4G,1,9,NN9535K,"slurmstepd: error: *** JOB 4735932 ON c3-51 CANCELLED AT 2022-01-07T13:28:48 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,Error,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616536.txt,5,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616536.sh,Not Finished
6 14:39:02 CET 2022,35996K,4,DONE,../../inputs/CliqueNumberSimpleGraphs_2, ,1,14-00:00:1,14-00:00:00,1,8196, tw = 1, -pl -pdbgn ,4732738,26432119,Thu Dec 23 14:00:24 CET 2021,2G,1,16,NN9535K,"slurmstepd: error: *** JOB 4732738 ON c3-56 CANCELLED AT 2022-01-06T14:39:00 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,Error,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/triangle-free-iso-bfs-tw/main-script/job-generation/../../program-outputs/26432119.txt,2,/cluster/projects/nn9535k/farhad/2021/23dec/triangle-free-iso-bfs-tw/main-script/job-generation/../../jobs/26432119.sh,Not Finished
6 14:39:02 CET 2022,35968K,4,DONE,../../inputs/CliqueNumberSimpleGraphs_2,-premise,1,14-00:00:1,14-00:00:00,1,8196, tw = 1, -pl -pdbgn ,4732739,26432123,Thu Dec 23 14:00:24 CET 2021,2G,1,16,NN9535K,"slurmstepd: error: *** JOB 4732739 ON c3-56 CANCELLED AT 2022-01-06T14:39:00 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,Error,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/triangle-free-iso-bfs-tw/main-script/job-generation/../../program-outputs/26432123.txt,2,/cluster/projects/nn9535k/farhad/2021/23dec/triangle-free-iso-bfs-tw/main-script/job-generation/../../jobs/26432123.sh,Not Finished
6 14:39:01 CET 2022,474496K,12,DONE,../../inputs/CliqueNumberSimpleGraphs_2, ,1,14-00:00:1,14-00:00:00,1,25164, tw = 2, -pl -pdbgn ,4732740,26432128,Thu Dec 23 14:00:24 CET 2021,2G,1,9,NN9535K,"slurmstepd: error: *** JOB 4732740 ON c3-55 CANCELLED AT 2022-01-06T14:39:00 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,Error,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/triangle-free-iso-bfs-tw/main-script/job-generation/../../program-outputs/26432128.txt,2,/cluster/projects/nn9535k/farhad/2021/23dec/triangle-free-iso-bfs-tw/main-script/job-generation/../../jobs/26432128.sh,Not Finished
6 14:39:02 CET 2022,474496K,12,DONE,../../inputs/CliqueNumberSimpleGraphs_2,-premise,1,14-00:00:1,14-00:00:00,1,25160, tw = 2, -pl -pdbgn ,4732741,26432133,Thu Dec 23 14:00:24 CET 2021,2G,1,9,NN9535K,"slurmstepd: error: *** JOB 4732741 ON c3-55 CANCELLED AT 2022-01-06T14:39:00 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,Error,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/triangle-free-iso-bfs-tw/main-script/job-generation/../../program-outputs/26432133.txt,2,/cluster/projects/nn9535k/farhad/2021/23dec/triangle-free-iso-bfs-tw/main-script/job-generation/../../jobs/26432133.sh,Not Finished
6 14:39:02 CET 2022,811868K,19,DONE,../../inputs/CliqueNumberSimpleGraphs_2, ,1,14-00:00:1,14-00:00:00,1,67065, tw = 3, -pl -pdbgn ,4732742,26432137,Thu Dec 23 14:00:24 CET 2021,4G,1,9,NN9535K,"slurmstepd: error: *** JOB 4732742 ON c3-55 CANCELLED AT 2022-01-06T14:39:00 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,Error,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/triangle-free-iso-bfs-tw/main-script/job-generation/../../program-outputs/26432137.txt,2,/cluster/projects/nn9535k/farhad/2021/23dec/triangle-free-iso-bfs-tw/main-script/job-generation/../../jobs/26432137.sh,Not Finished
6 14:39:02 CET 2022,811876K,19,DONE,../../inputs/CliqueNumberSimpleGraphs_2,-premise,1,14-00:00:1,14-00:00:00,1,67060, tw = 3, -pl -pdbgn ,4732743,26432142,Thu Dec 23 14:00:24 CET 2021,4G,1,9,NN9535K,"slurmstepd: error: *** JOB 4732743 ON c3-55 CANCELLED AT 2022-01-06T14:39:00 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,Error,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/triangle-free-iso-bfs-tw/main-script/job-generation/../../program-outputs/26432142.txt,2,/cluster/projects/nn9535k/farhad/2021/23dec/triangle-free-iso-bfs-tw/main-script/job-generation/../../jobs/26432142.sh,Not Finished
19 16:54:51 CET 2022,0,16,DONE,../../inputs/CliqueNumberSimpleGraphs_1, ,1,00:00:03,14-00:00:00,1,12, tw = 4, -pl -pdbgn ,4876029,60760057,Wed Jan 19 16:54:47 CET 2022,4G,1,7,NN9535K,,IsomorphismBreadthFirstSearch,,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_1.txt > /cluster/projects/nn9535k/farhad/2022/jan19/clique-number-tw/main-script/job-generation/../../program-outputs/60760057.txt,1,/cluster/projects/nn9535k/farhad/2022/jan19/clique-number-tw/main-script/job-generation/../../jobs/60760057.sh,"Conjecture: Satisfied
"
