script-file,Search Options,iteration,input,max-witness-size,error-output,time,status,mem-per-cpu,width,cpus-per-task,max-rss,ntasks-per-node,all-states,finish,ChromaticNumber,error,ntasks,account,job-name, Search Type,job-id,command,start,conjecture-status,Flags,elapsed
/cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../jobs/58085533.sh,-premise,15,../../inputs/ChromaticNumber_4,715,Error,1-00:00:00,DONE,16G, pw = 6,1,4228K,1,543,16 16:18:09 CET 2021,4,"slurmstepd: error: *** JOB 4660819 ON c3-51 CANCELLED AT 2021-12-16T16:18:07 DUE TO TIME LIMIT ***
",1,NN9535K,58085533,IsomorphismBreadthFirstSearch,4660819,/cluster/home/farhadvadiee/2021/15dec/chromatic-number/Build/./treewidzard -search   pw = 6  -pl  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../program-outputs/58085533.txt,Wed Dec 15 16:18:05 CET 2021,Not Finished, -pl ,1-00:00:02
/cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../jobs/58085537.sh, ,11,../../inputs/ChromaticNumber_4,2795,Error,1-00:00:00,DONE,32G, pw = 7,1,934020K,1,255742,16 16:18:09 CET 2021,4,"slurmstepd: error: *** JOB 4660820 ON c3-50 CANCELLED AT 2021-12-16T16:18:07 DUE TO TIME LIMIT ***
",1,NN9535K,58085537,BreadthFirstSearch,4660820,/cluster/home/farhadvadiee/2021/15dec/chromatic-number/Build/./treewidzard -search   pw = 7  -pl    BreadthFirstSearch ../../inputs/ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../program-outputs/58085537.txt,Wed Dec 15 16:18:05 CET 2021,Not Finished, -pl ,1-00:00:02
/cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../jobs/58085541.sh, ,8,../../inputs/ChromaticNumber_4,2795,Error,1-00:00:00,DONE,32G, pw = 7,1,9960K,1,32,16 16:18:08 CET 2021,4,"slurmstepd: error: *** JOB 4660821 ON c3-50 CANCELLED AT 2021-12-16T16:18:07 DUE TO TIME LIMIT ***
",1,NN9535K,58085541,IsomorphismBreadthFirstSearch,4660821,/cluster/home/farhadvadiee/2021/15dec/chromatic-number/Build/./treewidzard -search   pw = 7  -pl    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../program-outputs/58085541.txt,Wed Dec 15 16:18:05 CET 2021,Not Finished, -pl ,1-00:00:02
/cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../jobs/58085545.sh,-premise,11,../../inputs/ChromaticNumber_4,2795,Error,1-00:00:00,DONE,32G, pw = 7,1,933560K,1,255742,16 16:18:10 CET 2021,4,"slurmstepd: error: *** JOB 4660822 ON c3-50 CANCELLED AT 2021-12-16T16:18:07 DUE TO TIME LIMIT ***
",1,NN9535K,58085545,BreadthFirstSearch,4660822,/cluster/home/farhadvadiee/2021/15dec/chromatic-number/Build/./treewidzard -search   pw = 7  -pl  -premise BreadthFirstSearch ../../inputs/ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../program-outputs/58085545.txt,Wed Dec 15 16:18:05 CET 2021,Not Finished, -pl ,1-00:00:02
/cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../jobs/58085549.sh,-premise,8,../../inputs/ChromaticNumber_4,2795,Error,1-00:00:00,DONE,32G, pw = 7,1,10040K,1,32,16 16:18:09 CET 2021,4,"slurmstepd: error: *** JOB 4660823 ON c3-50 CANCELLED AT 2021-12-16T16:18:07 DUE TO TIME LIMIT ***
",1,NN9535K,58085549,IsomorphismBreadthFirstSearch,4660823,/cluster/home/farhadvadiee/2021/15dec/chromatic-number/Build/./treewidzard -search   pw = 7  -pl  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../program-outputs/58085549.txt,Wed Dec 15 16:18:05 CET 2021,Not Finished, -pl ,1-00:00:02
/cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../jobs/58085553.sh, ,4,../../inputs/ChromaticNumber_5,2,,1-00:00:00,DONE,16G, pw = 1,1,0,1,5,15 16:18:06 CET 2021,5,,1,NN9535K,58085553,BreadthFirstSearch,4660824,/cluster/home/farhadvadiee/2021/15dec/chromatic-number/Build/./treewidzard -search   pw = 1  -pl    BreadthFirstSearch ../../inputs/ChromaticNumber_5.txt > /cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../program-outputs/58085553.txt,Wed Dec 15 16:18:05 CET 2021,"Conjecture: Satisfied
", -pl ,00:00:01
/cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../jobs/58085561.sh, ,5,../../inputs/ChromaticNumber_5,2,,1-00:00:00,DONE,16G, pw = 1,1,0,1,4,15 16:18:07 CET 2021,5,,1,NN9535K,58085561,IsomorphismBreadthFirstSearch,4660825,/cluster/home/farhadvadiee/2021/15dec/chromatic-number/Build/./treewidzard -search   pw = 1  -pl    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_5.txt > /cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../program-outputs/58085561.txt,Wed Dec 15 16:18:06 CET 2021,"Conjecture: Satisfied
", -pl ,00:00:01
/cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../jobs/58085565.sh,-premise,4,../../inputs/ChromaticNumber_5,2,,1-00:00:00,DONE,16G, pw = 1,1,0,1,5,15 16:18:08 CET 2021,5,,1,NN9535K,58085565,BreadthFirstSearch,4660826,/cluster/home/farhadvadiee/2021/15dec/chromatic-number/Build/./treewidzard -search   pw = 1  -pl  -premise BreadthFirstSearch ../../inputs/ChromaticNumber_5.txt > /cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../program-outputs/58085565.txt,Wed Dec 15 16:18:06 CET 2021,"Conjecture: Satisfied
", -pl ,00:00:02
/cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../jobs/58085569.sh,-premise,5,../../inputs/ChromaticNumber_5,2,,1-00:00:00,DONE,16G, pw = 1,1,0,1,4,15 16:18:07 CET 2021,5,,1,NN9535K,58085569,IsomorphismBreadthFirstSearch,4660827,/cluster/home/farhadvadiee/2021/15dec/chromatic-number/Build/./treewidzard -search   pw = 1  -pl  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_5.txt > /cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../program-outputs/58085569.txt,Wed Dec 15 16:18:06 CET 2021,"Conjecture: Satisfied
", -pl ,00:00:02
/cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../jobs/58085573.sh, ,7,../../inputs/ChromaticNumber_5,5,,1-00:00:00,DONE,16G, pw = 2,1,0,1,18,15 16:18:07 CET 2021,5,,1,NN9535K,58085573,BreadthFirstSearch,4660828,/cluster/home/farhadvadiee/2021/15dec/chromatic-number/Build/./treewidzard -search   pw = 2  -pl    BreadthFirstSearch ../../inputs/ChromaticNumber_5.txt > /cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../program-outputs/58085573.txt,Wed Dec 15 16:18:05 CET 2021,"Conjecture: Satisfied
", -pl ,00:00:01
