error-output,ntasks,MaxDegree,conjecture-status,script-file,error,all-states,input,job-name,command,finish, Search Type,job-id,ntasks-per-node,time,Flags,status,Search Options,width,account,cpus-per-task,iteration,start,elapsed,mem-per-cpu,max-witness-size,max-rss
,1,2,"Conjecture: Satisfied
",/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386196.sh,,40,../../inputs/MaxDegree_2,26386196,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386196.txt,23 13:53:51 CET 2021,IsomorphismBreadthFirstSearch,4732721,1,14-00:00:00, -pl -pdbgn ,DONE, , tw = 3,NN9535K,1,9,Thu Dec 23 13:53:46 CET 2021,00:00:05,4G,1,0
,1,2,"Conjecture: Satisfied
",/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386201.sh,,35,../../inputs/MaxDegree_2,26386201,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386201.txt,23 13:53:50 CET 2021,IsomorphismBreadthFirstSearch,4732722,1,14-00:00:00, -pl -pdbgn ,DONE,-premise, tw = 3,NN9535K,1,9,Thu Dec 23 13:53:46 CET 2021,00:00:04,4G,1,0
,1,3,"Conjecture: Satisfied
",/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386207.sh,,18,../../inputs/MaxDegree_3,26386207,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386207.txt,23 13:53:49 CET 2021,IsomorphismBreadthFirstSearch,4732723,1,14-00:00:00, -pl -pdbgn ,DONE, , tw = 1,NN9535K,1,8,Thu Dec 23 13:53:46 CET 2021,00:00:03,2G,1,0
,1,3,"Conjecture: Satisfied
",/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386212.sh,,15,../../inputs/MaxDegree_3,26386212,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386212.txt,23 13:53:46 CET 2021,IsomorphismBreadthFirstSearch,4732724,1,14-00:00:00, -pl -pdbgn ,DONE,-premise, tw = 1,NN9535K,1,8,Thu Dec 23 13:53:45 CET 2021,00:00:01,2G,1,0
,1,3,"Conjecture: Satisfied
",/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386217.sh,,39,../../inputs/MaxDegree_3,26386217,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386217.txt,23 13:53:47 CET 2021,IsomorphismBreadthFirstSearch,4732725,1,14-00:00:00, -pl -pdbgn ,DONE, , tw = 2,NN9535K,1,9,Thu Dec 23 13:53:45 CET 2021,00:00:01,2G,1,0
,1,3,"Conjecture: Satisfied
",/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386223.sh,,35,../../inputs/MaxDegree_3,26386223,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386223.txt,23 13:53:49 CET 2021,IsomorphismBreadthFirstSearch,4732726,1,14-00:00:00, -pl -pdbgn ,DONE,-premise, tw = 2,NN9535K,1,9,Thu Dec 23 13:53:45 CET 2021,00:00:02,2G,1,0
,1,3,"Conjecture: Satisfied
",/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386228.sh,,75,../../inputs/MaxDegree_3,26386228,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386228.txt,23 13:54:02 CET 2021,IsomorphismBreadthFirstSearch,4732727,1,14-00:00:00, -pl -pdbgn ,DONE, , tw = 3,NN9535K,1,10,Thu Dec 23 13:53:45 CET 2021,00:00:17,4G,1,0
,1,3,"Conjecture: Satisfied
",/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386233.sh,,70,../../inputs/MaxDegree_3,26386233,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386233.txt,23 13:54:01 CET 2021,IsomorphismBreadthFirstSearch,4732728,1,14-00:00:00, -pl -pdbgn ,DONE,-premise, tw = 3,NN9535K,1,10,Thu Dec 23 13:53:46 CET 2021,00:00:16,4G,1,0
,1,4,"Conjecture: Satisfied
",/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386239.sh,,24,../../inputs/MaxDegree_4,26386239,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_4.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386239.txt,23 13:53:48 CET 2021,IsomorphismBreadthFirstSearch,4732729,1,14-00:00:00, -pl -pdbgn ,DONE, , tw = 1,NN9535K,1,9,Thu Dec 23 13:53:46 CET 2021,00:00:03,2G,1,0
,1,4,"Conjecture: Satisfied
",/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386244.sh,,21,../../inputs/MaxDegree_4,26386244,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_4.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386244.txt,23 13:53:48 CET 2021,IsomorphismBreadthFirstSearch,4732730,1,14-00:00:00, -pl -pdbgn ,DONE,-premise, tw = 1,NN9535K,1,8,Thu Dec 23 13:53:46 CET 2021,00:00:02,2G,1,0
,1,4,"Conjecture: Satisfied
",/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386250.sh,,60,../../inputs/MaxDegree_4,26386250,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_4.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386250.txt,23 13:53:49 CET 2021,IsomorphismBreadthFirstSearch,4732731,1,14-00:00:00, -pl -pdbgn ,DONE, , tw = 2,NN9535K,1,9,Thu Dec 23 13:53:46 CET 2021,00:00:04,2G,1,0
,1,4,"Conjecture: Satisfied
",/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386256.sh,,56,../../inputs/MaxDegree_4,26386256,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_4.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386256.txt,23 13:53:49 CET 2021,IsomorphismBreadthFirstSearch,4732732,1,14-00:00:00, -pl -pdbgn ,DONE,-premise, tw = 2,NN9535K,1,9,Thu Dec 23 13:53:46 CET 2021,00:00:03,2G,1,0
,1,4,"Conjecture: Satisfied
",/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386260.sh,,131,../../inputs/MaxDegree_4,26386260,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_4.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386260.txt,23 13:55:12 CET 2021,IsomorphismBreadthFirstSearch,4732733,1,14-00:00:00, -pl -pdbgn ,DONE, , tw = 3,NN9535K,1,10,Thu Dec 23 13:53:45 CET 2021,00:01:26,4G,1,1440K
,1,4,"Conjecture: Satisfied
",/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386265.sh,,126,../../inputs/MaxDegree_4,26386265,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_4.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386265.txt,23 13:55:05 CET 2021,IsomorphismBreadthFirstSearch,4732734,1,14-00:00:00, -pl -pdbgn ,DONE,-premise, tw = 3,NN9535K,1,10,Thu Dec 23 13:53:45 CET 2021,00:01:20,4G,1,1452K
