command,mem-per-cpu,job-id,status,finish,start,input,ntasks-per-node,max-rss,Flags,cpus-per-task,time,Search Options,elapsed,script-file,conjecture-status,error-output,job-name,ntasks,account,max-witness-size,MaxDegree,width,iteration, Search Type,error,all-states
/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386196.txt,4G,4732721,DONE,23 13:53:51 CET 2021,Thu Dec 23 13:53:46 CET 2021,../../inputs/MaxDegree_2,1,0, -pl -pdbgn ,1,14-00:00:00, ,00:00:05,/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386196.sh,"Conjecture: Satisfied
",,26386196,1,NN9535K,1,2, tw = 3,9,IsomorphismBreadthFirstSearch,,40
/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386201.txt,4G,4732722,DONE,23 13:53:50 CET 2021,Thu Dec 23 13:53:46 CET 2021,../../inputs/MaxDegree_2,1,0, -pl -pdbgn ,1,14-00:00:00,-premise,00:00:04,/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386201.sh,"Conjecture: Satisfied
",,26386201,1,NN9535K,1,2, tw = 3,9,IsomorphismBreadthFirstSearch,,35
/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386207.txt,2G,4732723,DONE,23 13:53:49 CET 2021,Thu Dec 23 13:53:46 CET 2021,../../inputs/MaxDegree_3,1,0, -pl -pdbgn ,1,14-00:00:00, ,00:00:03,/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386207.sh,"Conjecture: Satisfied
",,26386207,1,NN9535K,1,3, tw = 1,8,IsomorphismBreadthFirstSearch,,18
/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386212.txt,2G,4732724,DONE,23 13:53:46 CET 2021,Thu Dec 23 13:53:45 CET 2021,../../inputs/MaxDegree_3,1,0, -pl -pdbgn ,1,14-00:00:00,-premise,00:00:01,/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386212.sh,"Conjecture: Satisfied
",,26386212,1,NN9535K,1,3, tw = 1,8,IsomorphismBreadthFirstSearch,,15
/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386217.txt,2G,4732725,DONE,23 13:53:47 CET 2021,Thu Dec 23 13:53:45 CET 2021,../../inputs/MaxDegree_3,1,0, -pl -pdbgn ,1,14-00:00:00, ,00:00:01,/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386217.sh,"Conjecture: Satisfied
",,26386217,1,NN9535K,1,3, tw = 2,9,IsomorphismBreadthFirstSearch,,39
/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386223.txt,2G,4732726,DONE,23 13:53:49 CET 2021,Thu Dec 23 13:53:45 CET 2021,../../inputs/MaxDegree_3,1,0, -pl -pdbgn ,1,14-00:00:00,-premise,00:00:02,/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386223.sh,"Conjecture: Satisfied
",,26386223,1,NN9535K,1,3, tw = 2,9,IsomorphismBreadthFirstSearch,,35
/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386228.txt,4G,4732727,DONE,23 13:54:02 CET 2021,Thu Dec 23 13:53:45 CET 2021,../../inputs/MaxDegree_3,1,0, -pl -pdbgn ,1,14-00:00:00, ,00:00:17,/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386228.sh,"Conjecture: Satisfied
",,26386228,1,NN9535K,1,3, tw = 3,10,IsomorphismBreadthFirstSearch,,75
/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386233.txt,4G,4732728,DONE,23 13:54:01 CET 2021,Thu Dec 23 13:53:46 CET 2021,../../inputs/MaxDegree_3,1,0, -pl -pdbgn ,1,14-00:00:00,-premise,00:00:16,/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386233.sh,"Conjecture: Satisfied
",,26386233,1,NN9535K,1,3, tw = 3,10,IsomorphismBreadthFirstSearch,,70
/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_4.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386239.txt,2G,4732729,DONE,23 13:53:48 CET 2021,Thu Dec 23 13:53:46 CET 2021,../../inputs/MaxDegree_4,1,0, -pl -pdbgn ,1,14-00:00:00, ,00:00:03,/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386239.sh,"Conjecture: Satisfied
",,26386239,1,NN9535K,1,4, tw = 1,9,IsomorphismBreadthFirstSearch,,24
/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_4.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386244.txt,2G,4732730,DONE,23 13:53:48 CET 2021,Thu Dec 23 13:53:46 CET 2021,../../inputs/MaxDegree_4,1,0, -pl -pdbgn ,1,14-00:00:00,-premise,00:00:02,/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386244.sh,"Conjecture: Satisfied
",,26386244,1,NN9535K,1,4, tw = 1,8,IsomorphismBreadthFirstSearch,,21
